ID,building_visited,choice,Speed,Laziness,Destination floor,Fatigue,Luggage,Elevator speed,"Environmental
consciousness",Temperature,Appeal,"Number of people
waiting for the elevator",Peers,measurement_no,Health
P0PRd5jd8,Lágymányos Déli Tömb,0,7,8,9,9,0,6,1,0,0,0,no_peers,1,NA
E8B1Ye7kd,BTK I épület,1,3,9,8,8,0,7,5,1,0,0,no_peers,1,NA
P0Kd6bjPD,"BGGYK A, B épület",0,0,4,8,10,8,0,5,0,0,4,peers_stairs,1,NA
5NvkLX8yl,BTK Rákóczi utca 5 (R5),0,10,5,10,6,3,8,3,10,0,0,no_peers,1,NA
jbVbNon1Z,"BGGYK A, B épület",1,0,0,8,0,0,5,3,0,2,8,no_peers,1,NA
jbeLMmWLo,PPK Izabella utca,1,3,4,4,6,5,6,5,6,3,6,peers_stairs,1,NA
xXYwL50k1,PPK Kazinczy utca,0,5,7,3,3,0,8,1,10,5,0,peers_elevator,1,NA
jbJ58GADZ,PPK Izabella utca,1,10,0,4,9,7,5,5,9,3,4,NA,1,NA
LE7G1RvbM,PPK Izabella utca,1,7,1,4,2,0,2,1,0,1,2,no_peers,1,NA
D2kP3R2wr,Egyéb:,1,0,0,0,0,0,0,10,10,5,10,no_peers,1,NA
8xVK1apdZ,BTK Rákóczi utca 5 (R5),1,7,0,0,0,0,5,10,0,1,0,no_peers,1,NA
nWPvK5e6M,PPK Kazinczy utca,0,10,8,8,10,0,4,0,0,10,0,no_peers,1,NA
8xPD2xGKE,Lágymányos Déli Tömb,0,8,9,1,4,0,6,2,0,0,3,no_peers,1,NA
bEmqb6KLw,"BGGYK A, B épület",1,6,8,10,7,6,10,10,3,0,0,no_peers,1,NA
yeL2QZ5JK,PPK Kazinczy utca,1,0,0,3,0,0,2,10,0,0,0,no_peers,1,NA
BvAqRAqp4,BTK Rákóczi utca 5 (R5),0,10,7,10,7,1,3,3,0,0,0,peers_elevator,1,NA
MBym1rbko,PPK Kazinczy utca,1,0,0,6,4,5,1,10,0,6,0,no_peers,1,NA
jbPXRBAGZ,BTK F épület,1,5,0,0,0,0,0,5,6,5,0,peers_stairs,1,NA
BvXP2m2RB,TÓK,1,10,5,10,10,4,0,10,8,10,10,no_peers,1,NA
nWG1Jlypd,Lágymányos Déli Tömb,1,8,2,6,8,0,8,0,0,1,10,no_peers,1,NA
RDJMyaB2L,TÓK,1,5,3,6,7,7,6,7,5,0,0,peers_elevator,1,NA
m5j7oGA1M,BTK Rákóczi utca 5 (R5),0,10,0,10,1,0,2,0,0,1,3,peers_elevator,1,NA
P0ZqMN23E,Lágymányos Északi Tömb,1,7,1,6,5,2,1,5,0,2,10,no_peers,1,NA
orD2VnvQ3,Lágymányos Déli Tömb,1,6,0,8,2,5,5,5,5,5,6,peers_elevator,1,NA
LEG7Jjr0k,TÓK,1,0,0,10,4,6,4,10,0,10,1,peers_stairs,1,NA
WErqpDkZJ,Lágymányos Déli Tömb,0,7,0,10,9,0,6,0,0,0,5,no_peers,1,NA
lKrBe21PW,PPK Kazinczy utca,1,0,0,0,1,1,8,8,7,2,2,peers_stairs,1,NA
ZwkNE46ZB,Lágymányos Déli Tömb,0,0,3,1,4,2,2,0,2,2,1,peers_elevator,1,NA
5N1WqDDZR,PPK Izabella utca,1,0,0,1,0,0,5,4,0,2,0,no_peers,1,NA
P0wvY8Plx,Lágymányos Déli Tömb,0,2,10,6,8,2,0,5,2,0,7,peers_elevator,1,NA
RDjZdQ1Y3,PPK Kazinczy utca,1,0,3,8,4,0,3,1,0,3,7,peers_stairs,1,NA
lKM7vwBwL,TÓK,1,5,0,0,0,0,1,3,0,7,10,peers_stairs,1,NA
RDMRX5GPK,BTK I épület,1,10,0,0,3,0,4,3,2,4,0,no_peers,1,NA
282Ld2GPr,PPK Kazinczy utca,1,10,0,0,0,0,7,10,2,2,0,no_peers,1,NA
rYBZQomLv,PPK Kazinczy utca,1,4,0,0,5,0,0,1,0,1,0,no_peers,1,NA
xXkbA2wx2,"BGGYK A, B épület",1,9,5,9,10,6,5,10,10,0,5,no_peers,1,NA
4NajwMaaM,"BGGYK A, B épület",1,0,10,5,10,4,4,10,5,10,4,peers_stairs,1,NA
RDwmELd7K,BTK F épület,1,2,3,4,1,1,2,3,2,7,5,peers_stairs,1,NA
nW10b0reX,Lágymányos Északi Tömb,1,8,0,0,5,1,5,5,0,2,10,no_peers,1,NA
Q38VlxjXX,Lágymányos Déli Tömb,1,5,0,3,10,2,2,5,5,2,7,no_peers,1,NA
orjMbJJ0M,Lágymányos Északi Tömb,1,9,0,0,4,0,0,4,3,5,0,no_peers,1,NA
jbVvE7j64,BTK D épület,0,10,10,8,6,0,9,2,2,2,2,no_peers,1,NA
P0ymvQdkx,Lágymányos Északi Tömb,0,8,8,10,7,4,0,1,4,0,0,peers_elevator,1,NA
RDmRXd2ZG,Lágymányos Déli Tömb,0,8,3,3,0,2,3,0,0,0,0,no_peers,1,NA
AnlRr2B63,Lágymányos Déli Tömb,1,0,0,3,2,0,3,4,0,6,6,no_peers,1,NA
RDaJ813b3,BTK C épület,1,10,0,3,7,6,6,10,6,0,7,no_peers,1,NA
yeYPYDK6p,Lágymányos Déli Tömb,0,5,5,5,4,2,8,2,0,0,0,peers_elevator,1,NA
jbAvGDqyZ,BTK Rákóczi utca 5 (R5),0,9,9,10,10,1,7,3,9,1,1,peers_elevator,1,NA
lKB1Pjlj7,PPK Izabella utca,1,10,3,5,3,1,10,8,0,0,10,peers_stairs,1,NA
YwPWjpv47,Lágymányos Déli Tömb,1,2,4,4,2,0,8,8,9,5,1,peers_stairs,1,NA
v0wKAYvAe,BTK Rákóczi utca 5 (R5),1,8,1,10,6,5,3,7,7,4,1,peers_elevator,1,NA
VkQ260p0v,PPK Izabella utca,1,4,3,3,7,1,2,4,5,7,4,peers_elevator,1,NA
E804W5EB3,PPK Kazinczy utca,1,4,1,0,1,0,3,3,3,1,1,no_peers,1,NA
YwKpYK80X,Lágymányos Déli Tömb,0,8,8,8,8,2,8,2,2,1,1,peers_elevator,1,NA
bER8nWXXN,Lágymányos Déli Tömb,1,3,0,6,0,0,10,8,0,0,0,no_peers,1,NA
m5YBwjjVk,BTK Rákóczi utca 5 (R5),0,1,2,10,9,0,10,0,0,0,0,no_peers,1,NA
5NWdqeKJJ,Egyéb:,1,8,0,0,0,0,3,0,0,5,3,peers_stairs,1,NA
WEEd17PWM,Egyéb:,0,8,5,7,6,3,5,0,0,0,0,no_peers,1,NA
rYBw7xP1e,BGGYK C épület,0,10,10,10,10,9,10,10,10,0,4,peers_elevator,1,NA
lKxPY1A35,Lágymányos Déli Tömb,0,7,6,10,5,5,2,3,1,5,3,peers_elevator,1,NA
JN4lDolMx,Lágymányos Déli Tömb,0,5,8,10,7,7,2,0,8,1,2,peers_elevator,1,NA
4NaWnNZa3,Lágymányos Déli Tömb,0,1,1,8,8,8,8,3,1,1,1,no_peers,1,NA
VkYwmWjB7,Lágymányos Déli Tömb,0,10,10,10,2,1,9,0,0,0,0,no_peers,1,NA
qNPeoVq37,BTK I épület,1,10,0,1,0,0,6,0,9,0,8,no_peers,1,NA
E8B73NbxJ,TÓK,0,6,4,7,5,2,4,1,2,2,4,peers_elevator,1,NA
rYE1N2Nqe,PPK Kazinczy utca,1,8,1,5,8,9,5,8,2,2,3,peers_stairs,1,NA
aEK7x3qRD,Lágymányos Déli Tömb,1,1,2,4,2,2,1,1,0,0,4,no_peers,1,NA
7Vk7rKppr,Lágymányos Déli Tömb,1,0,0,0,2,0,5,2,0,0,7,no_peers,1,NA
LE03rGleK,BTK C épület,1,0,0,0,0,0,5,10,0,10,0,peers_stairs,1,NA
RDVd2AaVL,"BGGYK A, B épület",0,8,8,8,8,4,6,5,7,5,5,peers_elevator,1,NA
YwKWb7yj2,BTK Rákóczi utca 5 (R5),0,3,7,10,10,1,4,8,1,9,10,peers_elevator,1,NA
jb3DJD1lr,"BGGYK A, B épület",0,0,10,10,10,10,4,10,10,9,0,no_peers,1,NA
e4L5qx1Q6,PPK Kazinczy utca,1,7,3,6,8,9,2,5,3,8,9,peers_stairs,1,NA
8x6xBob20,BTK D épület,1,10,0,10,6,2,6,5,5,0,0,no_peers,1,NA
WEoLKkAL2,PPK Izabella utca,0,10,2,7,2,0,5,0,0,0,0,peers_elevator,1,NA
4NnrQJoN3,Lágymányos Északi Tömb,0,3,2,10,8,2,4,1,2,0,4,peers_elevator,1,NA
7Vvnw5DP4,Lágymányos Déli Tömb,1,7,0,4,7,1,6,6,1,6,2,no_peers,1,NA
1mRw2QGkY,Lágymányos Déli Tömb,1,6,3,2,7,7,5,10,5,3,3,no_peers,1,NA
8x5WMNp80,PPK Kazinczy utca,1,2,2,2,2,0,2,1,0,0,2,peers_stairs,1,NA
orZqaKXPM,PPK Kazinczy utca,1,8,5,10,10,1,3,10,5,0,10,no_peers,1,NA
e4p24KAK7,PPK Kazinczy utca,1,0,1,2,5,2,6,8,1,10,3,peers_stairs,1,NA
GnGDPvBZ7,"BGGYK A, B épület",1,8,2,6,9,4,8,5,2,1,1,peers_elevator,1,NA
m5Y26B3kX,PPK Kazinczy utca,1,1,0,0,7,0,5,10,0,10,2,no_peers,1,NA
w66EQJRyW,PPK Kazinczy utca,1,8,5,8,9,4,2,10,8,3,7,no_peers,1,NA
Q3vdE3WBn,PPK Kazinczy utca,1,5,0,3,2,0,9,8,5,1,0,peers_stairs,1,NA
7Vbw1xQMB,PPK Kazinczy utca,1,5,10,10,5,3,2,8,0,0,0,no_peers,1,NA
8xdx6Y5KZ,BTK Rákóczi utca 5 (R5),0,10,6,9,5,3,7,2,2,4,0,peers_elevator,1,NA
pv0vKWrm1,PPK Kazinczy utca,1,0,0,3,2,0,7,4,5,7,4,peers_stairs,1,NA
E8X7JoZDQ,BTK D épület,1,5,2,3,10,0,0,5,0,1,0,no_peers,1,NA
w6W5wqjV5,PPK Kazinczy utca,1,3,0,2,1,1,5,7,2,6,6,peers_stairs,1,NA
1mZkvd6Xq,Lágymányos Déli Tömb,1,8,3,2,9,1,2,7,5,3,7,no_peers,1,NA
7VBnewlpP,BGGYK C épület,1,0,3,1,4,3,0,6,0,0,0,no_peers,1,NA
ZweD46Kn8,PPK Kazinczy utca,1,8,0,7,3,0,4,1,1,1,7,no_peers,1,NA
orrQxmePx,Lágymányos Déli Tömb,0,7,10,10,7,0,3,3,5,0,4,peers_elevator,1,NA
bEEWNpo4Y,BTK Rákóczi utca 5 (R5),0,8,0,10,3,0,7,3,0,0,2,peers_elevator,1,NA
Bv414Jovw,Lágymányos Déli Tömb,1,2,2,1,3,2,7,5,2,2,6,peers_stairs,1,NA
Zwl4wony4,Lágymányos Északi Tömb,0,2,0,0,4,0,6,3,1,4,0,peers_elevator,1,NA
D2qj5mMdq,Lágymányos Északi Tömb,1,4,6,3,7,5,3,10,1,4,9,no_peers,1,NA
rYLL1YWq7,BGGYK C épület,1,5,0,8,3,6,7,7,0,0,0,no_peers,1,NA
Q3K2DA0Jr,Lágymányos Déli Tömb,0,4,8,10,3,2,9,1,2,1,2,no_peers,1,NA
qNrP7ryDP,Lágymányos Déli Tömb,1,4,2,2,5,1,8,2,3,5,2,no_peers,1,NA
e4kab1lk6,TÓK,1,10,5,10,5,4,8,4,7,10,0,peers_stairs,1,NA
lKZ1bAMPW,PPK Kazinczy utca,1,5,2,5,2,0,6,8,1,2,5,peers_stairs,1,NA
bEZKAedDK,TÓK,1,10,0,10,5,0,0,10,0,10,0,no_peers,1,NA
rY7qaP4vW,Lágymányos Északi Tömb,0,5,3,4,5,4,3,1,2,0,2,peers_elevator,1,NA
Gn8wk76rm,BGGYK C épület,1,1,1,1,3,3,4,6,8,2,3,no_peers,1,NA
LEQAqkdJl,Lágymányos Déli Tömb,1,0,0,0,3,0,9,10,0,2,6,no_peers,1,NA
xXAoALMN8,Lágymányos Északi Tömb,0,5,5,10,5,7,7,3,5,3,5,no_peers,1,NA
LEBeodKaj,TÓK,0,5,10,9,8,3,7,3,10,4,2,no_peers,1,NA
JNamvbDBo,PPK Kazinczy utca,1,7,1,5,2,0,0,7,0,3,0,peers_stairs,1,NA
28r57BmMo,PPK Kazinczy utca,1,0,0,7,5,0,8,6,0,10,0,no_peers,1,NA
GnVB1ddV7,PPK Kazinczy utca,1,0,0,5,0,4,4,7,1,0,0,no_peers,1,NA
LEpNRVNJK,PPK Izabella utca,1,0,0,3,6,6,4,10,0,9,0,peers_stairs,1,NA
AnpBjMPQZ,TÓK,1,3,3,0,3,2,1,8,3,1,0,peers_stairs,1,NA
yeK863Lw3,Lágymányos Déli Tömb,0,7,5,9,8,3,6,3,6,3,3,peers_elevator,1,NA
xXW0o06Ww,PPK Kazinczy utca,1,9,3,6,3,0,5,6,8,9,0,peers_stairs,1,NA
E81lQnPVA,TÓK,0,0,2,10,3,0,3,0,1,0,2,no_peers,1,NA
MBqqa5Vqn,PPK Kazinczy utca,0,3,8,6,6,0,7,0,3,0,0,peers_elevator,1,NA
8x8RddbEG,Lágymányos Déli Tömb,1,0,0,0,0,0,0,6,2,5,0,peers_stairs,1,NA
yePBaMZo3,Lágymányos Északi Tömb,1,3,1,0,5,6,3,0,0,1,2,no_peers,1,NA
yeQqnbexL,PPK Kazinczy utca,1,7,8,6,4,0,4,5,8,2,10,peers_stairs,1,NA
JN2G27358,Lágymányos Déli Tömb,0,10,3,10,0,0,7,1,8,0,5,no_peers,1,NA
rYoZP6mQ5,BTK Rákóczi utca 5 (R5),0,8,8,10,8,2,4,4,4,4,2,no_peers,1,NA
RDJwdYBoG,Lágymányos Déli Tömb,0,7,6,7,8,4,3,4,6,3,6,no_peers,1,NA
orrPKaZbr,PPK Izabella utca,1,8,6,3,9,6,5,9,2,8,3,peers_stairs,1,NA
nWwX355wM,Lágymányos Déli Tömb,0,5,0,10,4,0,2,2,1,0,0,peers_elevator,1,NA
Zw6wnKP4e,PPK Kazinczy utca,1,9,1,0,2,0,9,6,1,2,0,no_peers,1,NA
MBeQR8xno,Lágymányos Déli Tömb,1,4,3,3,3,0,0,8,2,3,7,peers_stairs,1,NA
An15a3JD0,Lágymányos Északi Tömb,0,10,4,10,7,0,6,2,1,2,9,no_peers,1,NA
v00bGbJ5M,PPK Kazinczy utca,1,5,0,0,0,0,5,10,5,0,0,peers_stairs,1,NA
BvlPdqPqx,BTK Rákóczi utca 5 (R5),0,0,8,9,5,3,10,0,5,0,0,no_peers,1,NA
nWGXLRPX7,PPK Kazinczy utca,1,10,3,7,7,2,4,8,8,6,0,no_peers,1,NA
LEdwG4No7,PPK Kazinczy utca,1,0,0,4,6,1,10,10,0,0,0,peers_stairs,1,NA
lK4doLjXX,PPK Kazinczy utca,1,7,0,10,5,4,4,9,5,2,4,no_peers,1,NA
RD02PnRda,Lágymányos Északi Tömb,0,8,5,10,10,0,0,7,0,0,10,peers_elevator,1,NA
m5Q7EQZyQ,TÓK,1,9,0,10,5,0,5,9,0,5,10,peers_stairs,1,NA
WEAaabR48,BTK C épület,0,3,5,10,9,0,6,0,0,0,0,no_peers,1,NA
YwJG0Xyov,Lágymányos Északi Tömb,1,10,0,0,4,1,7,5,5,5,0,no_peers,1,NA
WEab5ZZ2V,TÓK,0,10,1,6,3,10,4,0,3,2,0,peers_elevator,1,NA
w60AvJ1YZ,BTK Rákóczi utca 5 (R5),0,5,5,8,8,6,7,3,2,2,2,no_peers,1,NA
ZwLPjlEZ4,BTK Rákóczi utca 5 (R5),0,10,0,10,10,10,8,1,0,2,5,no_peers,1,NA
orEG6RPwx,BGGYK C épület,1,3,0,1,5,0,9,10,4,2,9,peers_stairs,1,NA
lKBBWV1Nx,PPK Kazinczy utca,0,10,5,10,8,6,10,5,5,7,8,no_peers,1,NA
8xB2q6Mo8,BTK Rákóczi utca 5 (R5),1,0,1,1,6,7,1,7,2,0,0,peers_stairs,1,NA
rYexmQqjq,Lágymányos Déli Tömb,1,1,1,1,5,0,0,0,3,6,3,peers_stairs,1,NA
JN7m7B2GD,"BGGYK A, B épület",0,7,5,5,3,2,5,6,2,6,4,peers_elevator,1,NA
4NZ77lqXy,BTK Rákóczi utca 5 (R5),0,9,7,10,9,3,9,2,7,3,1,no_peers,1,NA
qNeq42p4R,Lágymányos Északi Tömb,1,8,2,0,3,0,0,10,0,7,7,no_peers,1,NA
4Ny7KWnyV,TÓK,0,10,8,10,10,10,10,0,10,0,0,peers_elevator,1,NA
aEbnemom5,Lágymányos Északi Tömb,1,2,0,1,6,0,7,10,0,3,0,no_peers,1,NA
yeqB2k0Pl,Lágymányos Déli Tömb,0,3,7,9,7,4,3,2,2,1,3,no_peers,1,NA
GnxyDdJjN,Lágymányos Déli Tömb,1,0,0,0,3,0,6,4,1,10,0,peers_stairs,1,NA
pvKVnxmJN,PPK Kazinczy utca,1,8,2,3,3,0,2,8,2,8,10,no_peers,1,NA
8x67KW6jZ,Lágymányos Déli Tömb,0,10,8,7,10,4,0,1,1,1,2,no_peers,1,NA
aEVoKx4NB,BTK C épület,1,2,0,0,1,1,1,5,1,5,0,peers_stairs,1,NA
288DpnWYn,TÓK,1,8,0,0,0,0,5,9,0,2,0,no_peers,1,NA
1mP6xRWQm,TÓK,1,1,0,10,5,3,7,10,5,3,3,peers_elevator,1,NA
qNeq42p4R,Lágymányos Északi Tömb,1,8,3,2,2,0,0,10,0,8,7,no_peers,1,NA
rYP8bdJav,PPK Kazinczy utca,1,10,0,5,2,0,0,10,0,0,0,no_peers,1,NA
jbbZ2Ax4r,Lágymányos Déli Tömb,1,6,0,0,0,0,3,10,7,9,0,no_peers,1,NA
5NmqBnlbN,BTK Rákóczi utca 5 (R5),1,0,3,8,8,1,5,5,1,0,1,no_peers,1,NA
aEQ5BDJdB,"BGGYK A, B épület",1,5,1,8,4,0,10,10,0,10,0,peers_stairs,1,NA
RDj873jo2,BTK D épület,1,3,2,2,4,2,3,10,5,3,1,no_peers,1,NA
P0lrP1NME,BTK Rákóczi utca 5 (R5),0,0,5,8,5,6,8,2,0,5,0,no_peers,1,NA
Zww1KdGZ4,TÓK,1,3,0,1,8,8,1,8,4,1,1,no_peers,1,NA
8xGkp2YMm,PPK Kazinczy utca,1,0,0,4,7,2,5,6,7,7,0,no_peers,1,NA
Vk27byM3N,BTK Rákóczi utca 5 (R5),1,0,0,0,0,4,8,10,0,5,5,no_peers,1,NA
m5J21qYvm,BTK Rákóczi utca 5 (R5),0,5,10,10,7,0,4,5,0,0,7,peers_elevator,1,NA
GnayyPn41,Lágymányos Déli Tömb,1,10,0,0,0,0,6,0,0,0,0,peers_stairs,1,NA
rYJeYkDkW,BTK D épület,1,10,3,2,5,4,5,7,6,3,0,no_peers,1,NA
lKK6bvYkB,Egyéb:,1,10,2,2,0,0,5,2,0,0,6,no_peers,1,NA
MBNEkjnBA,Egyéb:,0,5,8,10,9,9,3,0,5,0,9,peers_elevator,1,NA
JNe57ZbWG,PPK Kazinczy utca,0,3,8,5,10,10,7,0,0,0,0,peers_elevator,1,NA
7VwYnDXDv,Lágymányos Déli Tömb,0,10,10,10,10,0,4,0,10,0,0,no_peers,1,NA
7VeE0Ppea,BTK Rákóczi utca 5 (R5),0,10,5,10,6,4,10,0,5,3,4,peers_elevator,1,NA
YwVQrpWxd,TÓK,1,1,1,10,3,2,2,4,2,0,0,no_peers,1,NA
w6kjMDq1Z,PPK Izabella utca,0,10,6,9,9,4,7,3,3,5,6,peers_stairs,1,NA
P0J1Mv5EX,"BGGYK A, B épület",1,0,0,0,1,0,7,9,0,0,9,peers_stairs,1,NA
WEDxJX7Mj,"BGGYK A, B épület",1,0,3,10,9,0,2,0,10,0,0,no_peers,1,NA
LEeNjQ012,PPK Izabella utca,1,3,2,0,0,0,6,1,0,0,0,no_peers,1,NA
w6wb4WrZW,PPK Kazinczy utca,1,0,0,0,0,0,5,10,0,5,0,no_peers,1,NA
P0aZRWy4v,PPK Izabella utca,1,6,0,5,6,3,6,7,4,0,0,peers_stairs,1,NA
aEYx5AavL,PPK Kazinczy utca,1,5,1,2,6,3,5,7,1,10,3,peers_stairs,1,NA
5NRPpmZRl,TÓK,1,10,0,10,10,5,10,10,0,3,0,peers_stairs,1,NA
280MMnE0r,PPK Kazinczy utca,0,8,8,8,6,5,4,4,5,5,4,peers_elevator,1,NA
qNaGbKwPv,PPK Izabella utca,1,0,0,10,3,5,2,6,0,0,3,peers_stairs,1,NA
jbB1yPkp5,Lágymányos Déli Tömb,0,6,6,6,7,5,2,1,4,0,3,NA,1,NA
LEaDbwQPM,Lágymányos Északi Tömb,0,8,6,10,0,0,0,0,0,0,10,peers_stairs,1,NA
Zwjr2bbe8,PPK Kazinczy utca,0,1,2,2,6,3,4,0,1,7,2,peers_elevator,1,NA
ZwK52xmYq,BTK F épület,1,6,1,3,7,2,5,7,2,9,0,no_peers,1,NA
e4qYJdW10,Lágymányos Északi Tömb,0,0,6,10,6,2,2,0,0,0,0,peers_elevator,1,NA
pvmL16DNb,Lágymányos Északi Tömb,0,2,8,9,6,0,9,2,1,2,0,no_peers,1,NA
LEbP3GVkb,Lágymányos Északi Tömb,0,10,7,2,7,7,10,0,5,0,0,peers_elevator,1,NA
orw41QoRW,BTK Rákóczi utca 5 (R5),0,10,0,10,10,0,4,0,0,0,0,no_peers,1,NA
Zw7WLYKGZ,"BGGYK A, B épület",1,10,3,5,8,8,3,7,7,0,0,no_peers,1,NA
E87Bqpn2d,Lágymányos Északi Tömb,0,10,10,10,3,2,7,0,0,0,5,peers_elevator,1,NA
28vJPEVyo,Lágymányos Déli Tömb,1,10,7,0,3,3,0,0,0,0,5,no_peers,1,NA
1mNQynKVM,PPK Izabella utca,0,10,5,10,10,3,10,2,2,2,1,peers_elevator,1,NA
JN1b7KJqv,PPK Kazinczy utca,1,6,0,10,9,9,9,10,1,8,10,no_peers,1,NA
JNvwRG7QD,TÓK,1,10,3,0,2,1,5,10,2,2,7,peers_stairs,1,NA
ZwBr11v0e,Lágymányos Déli Tömb,0,10,3,10,2,0,4,0,0,1,7,peers_elevator,1,NA
pvvWlbeL6,TÓK,0,6,9,8,10,8,5,2,8,4,6,peers_elevator,1,NA
lKML1lM2x,Lágymányos Déli Tömb,1,6,2,0,10,2,0,0,0,0,3,peers_stairs,1,NA
m526yXraM,Lágymányos Déli Tömb,1,5,0,0,2,0,1,2,0,2,1,no_peers,1,NA
or7VGVJaM,BTK Rákóczi utca 5 (R5),0,10,1,10,6,0,5,0,7,0,7,peers_elevator,1,NA
28lJ3lKlM,TÓK,1,4,0,10,4,0,1,10,10,10,1,no_peers,1,NA
m54v4NXbY,PPK Izabella utca,1,7,1,4,4,2,5,5,1,8,5,no_peers,1,NA
rYemV7qL5,Lágymányos Déli Tömb,0,6,2,4,4,4,3,7,2,5,6,no_peers,1,NA
LE7nkPm8K,BTK Rákóczi utca 5 (R5),1,0,0,0,0,0,7,0,0,1,0,no_peers,1,NA
w6e25Rpy3,PPK Izabella utca,1,6,0,1,6,0,9,5,5,8,0,no_peers,1,NA
YwwNMjxdv,BTK D épület,1,1,1,3,3,2,4,3,3,7,3,peers_stairs,1,NA
5NL3L7lvm,PPK Izabella utca,1,1,1,0,8,2,5,8,5,5,0,no_peers,1,NA
lKe7ZPaDY,BTK Rákóczi utca 5 (R5),1,2,1,4,5,4,8,6,4,6,6,no_peers,1,NA
Zwoa85nyG,PPK Izabella utca,1,9,0,2,7,3,5,6,8,5,3,peers_stairs,1,NA
D2ERX43vj,TÓK,1,6,3,7,2,0,2,5,0,7,0,peers_stairs,1,NA
Gnv32DdPj,Egyéb:,0,3,0,6,10,5,5,3,0,2,0,no_peers,1,NA
ora42r5eW,TÓK,1,10,3,9,6,5,1,3,2,7,3,peers_stairs,1,NA
1mm4R4nwY,Lágymányos Északi Tömb,0,10,4,10,3,3,4,0,3,3,10,peers_stairs,1,NA
rYEKy77q6,PPK Izabella utca,1,8,2,1,5,3,3,5,0,6,0,no_peers,1,NA
8xGMlw33a,PPK Kazinczy utca,0,10,3,0,4,0,7,0,5,9,1,peers_elevator,1,NA
lKMmZ300L,Lágymányos Déli Tömb,1,6,0,0,2,1,4,6,1,1,10,no_peers,1,NA
Zw6Pxn5EZ,Lágymányos Déli Tömb,1,3,7,7,7,4,5,2,0,1,1,peers_elevator,1,NA
RD4e7kL7r,BTK Rákóczi utca 5 (R5),0,0,5,10,6,1,7,0,4,3,0,peers_elevator,1,NA
WEaJjw5Nj,Lágymányos Északi Tömb,1,2,2,1,5,5,3,9,1,5,2,peers_stairs,1,NA
pvYAePQl1,BTK F épület,1,2,0,1,3,0,0,2,0,3,0,peers_stairs,1,NA
An5EAD0Yy,BTK Rákóczi utca 5 (R5),0,0,0,10,1,7,10,0,0,0,0,no_peers,1,NA
An40DkxjZ,PPK Izabella utca,0,8,0,4,8,1,4,4,9,3,5,no_peers,1,NA
D2Mak48Wx,BTK Rákóczi utca 5 (R5),0,3,4,8,5,2,8,2,2,2,5,no_peers,1,NA
YwQ2mZAqJ,BTK Rákóczi utca 5 (R5),1,10,1,10,7,4,4,0,10,0,0,peers_elevator,1,NA
v0032QZGe,BTK Rákóczi utca 5 (R5),1,7,0,7,6,0,3,5,4,6,2,no_peers,1,NA
Zww83a578,Lágymányos Déli Tömb,1,5,0,2,4,0,0,3,0,3,0,peers_stairs,1,NA
AnxGKWe10,PPK Izabella utca,1,7,0,6,4,5,5,10,5,10,1,no_peers,1,NA
BvjWG6P1P,Lágymányos Déli Tömb,1,2,0,0,8,3,8,0,0,10,8,no_peers,1,NA
MBoAwjrrP,BTK Rákóczi utca 5 (R5),0,6,7,10,10,8,8,4,4,3,3,no_peers,1,NA
Q3LYy5XM7,TÓK,1,5,1,2,2,2,3,10,4,9,3,no_peers,1,NA
7Vkyxm4Mv,TÓK,1,5,3,3,3,3,2,2,2,7,4,no_peers,1,NA
v04pRXm87,PPK Kazinczy utca,0,7,7,8,8,8,5,5,2,3,7,peers_elevator,1,NA
7VvKnEW50,Lágymányos Északi Tömb,0,9,4,8,8,6,4,5,5,3,3,no_peers,1,NA
Anlw8Epwy,TÓK,1,5,0,5,3,3,8,8,5,3,2,no_peers,1,NA
28WRBBAmV,Lágymányos Déli Tömb,1,3,0,1,4,1,0,2,5,10,5,no_peers,1,NA
P00wpBn38,Lágymányos Északi Tömb,1,1,0,0,4,1,6,7,2,5,8,no_peers,1,NA
28YVrWdYA,PPK Kazinczy utca,1,8,0,2,6,0,6,10,5,5,2,no_peers,1,NA
w6pdlM3M8,PPK Kazinczy utca,1,5,3,3,5,1,2,7,5,5,7,peers_stairs,1,NA
JN5n07XkD,PPK Kazinczy utca,1,3,3,5,4,4,5,5,5,0,0,peers_elevator,1,NA
rYVMmPkB5,Lágymányos Déli Tömb,1,2,3,2,5,5,2,3,6,1,1,no_peers,1,NA
w6m3eXm5N,PPK Kazinczy utca,0,5,2,5,5,7,9,7,2,7,2,peers_elevator,1,NA
xX7r8YWYq,PPK Izabella utca,1,0,5,0,9,1,10,7,1,6,0,peers_stairs,1,NA
w6PM2rGq3,BTK D épület,1,0,0,7,4,4,4,10,4,5,5,peers_stairs,1,NA
Q3WW4KrvZ,BTK Rákóczi utca 5 (R5),0,10,9,10,7,0,0,8,0,0,0,no_peers,1,NA
orrQxmePx,Lágymányos Déli Tömb,0,10,10,10,8,4,0,0,0,0,10,peers_elevator,1,NA
qNoyLjvrx,BTK Rákóczi utca 5 (R5),1,0,0,0,0,0,10,0,6,10,0,no_peers,1,NA
WEo0Y8JxJ,BTK Rákóczi utca 5 (R5),0,1,8,6,8,1,8,1,0,0,0,no_peers,1,NA
yeWnJ8elK,BTK Rákóczi utca 5 (R5),1,3,0,0,0,0,10,0,0,0,8,no_peers,1,NA
WEMVJN172,BTK Rákóczi utca 5 (R5),1,5,5,5,5,1,10,8,0,0,8,peers_elevator,1,NA
